"","FID","OBJECTID","AmbulanceR","BikeAge_Gr","Bike_Age","Bike_Alc_D","Bike_Dir","Bike_Injur","Bike_Pos","Bike_Race","Bike_Sex","City","County","CrashAlcoh","CrashDay","Crash_Date","Crash_Grp","Crash_Hour","Crash_Loc","Crash_Mont","Crash_Time","Crash_Type","Crash_Ty_1","Crash_Year","Crsh_Sevri","Developmen","DrvrAge_Gr","Drvr_Age","Drvr_Alc_D","Drvr_EstSp","Drvr_Injur","Drvr_Race","Drvr_Sex","Drvr_VehTy","ExcsSpdInd","Hit_Run","Light_Cond","Locality","Num_Lanes","Num_Units","Rd_Charact","Rd_Class","Rd_Conditi","Rd_Config","Rd_Defects","Rd_Feature","Rd_Surface","Region","Rural_Urba","Speed_Limi","Traff_Cntr","Weather","Workzone_I","Location","locx","locy"
"1075",367,368,"Yes","25-29",27,"No","Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Female","Durham","Durham","No","01-01-02","2012-06-12","Crossing Paths - Other Circumstances",15,"Intersection","01-06-01","0001-01-01T10:24:58-04:56","Signalized Intersection - Other /",NA,2012,"C: Possible Injury","Commercial","50-59",59,"No","0-5 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Cloudy","No","36.00242, -78.9129",-78.9129,36.00242
"1076",373,374,"Yes","20-24",21,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","None - Rural Crash","Watauga","No","01-01-05","2012-06-15","Motorist Overtaking Bicyclist",7,"Non-Intersection","01-06-01","0001-01-01T02:33:58-04:56","Motorist Overtaking - Misjudged Space",NA,2012,"B: Evident Injury","Farms, Woods, Pastures","",NA,"Missing","16-20 mph","Injury","/Missing","","Passenger Car","No","Yes","Daylight","Rural (<30% Developed)","2 lanes",2,"Straight - Grade","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Mountains","Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Cloudy","No","36.20561, -81.6142",-81.6142,36.20561
"1077",374,375,"No","15-Nov",13,"No","With Traffic","O: No Injury","Travel Lane","White","Male","Granite Quarry","Rowan","No","01-01-03","2012-06-06","Bicyclist Failed to Yield - Sign-Controlled Intersection",18,"Intersection","01-06-01","0001-01-01T13:10:58-04:56","Bicyclist Ride Through - Sign-Controlled Intersection",NA,2012,"O: No Injury","Residential","50-59",56,"No","31-35 mph","O: No Injury","White","Female","Sport Utility","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Rural","30 - 35  MPH","Stop Sign","Clear","No","35.61316, -80.4465",-80.4465,35.61316
"1078",375,376,"Yes","60-69",60,"No","With Traffic","K: Killed","Travel Lane","White","Male","None - Rural Crash","Onslow","No","01-01-07","2012-06-10","Motorist Left Turn / Merge",10,"Intersection","01-06-01","0001-01-01T05:50:58-04:56","Motorist Left Turn - Opposite Direction",NA,2012,"K: Killed","Residential","60-69",65,"No","11-15 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","Public Vehicular Area","Dry","Two-Way, Not Divided","None","Driveway, Public","Coarse Asphalt","Coastal","Rural","40 - 45  MPH","No Control Present","Clear","No","34.50988, -77.4338",-77.4338,34.50988
"1079",382,383,"Yes","30-39",34,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","Asheville","Buncombe","No","01-01-04","2012-06-07","Motorist Overtaking Bicyclist",20,"Intersection","01-06-01","0001-01-01T15:25:58-04:56","Motorist Overtaking - Misjudged Space",NA,2012,"C: Possible Injury","Commercial","",NA,"Missing","36-40 mph","Injury","/Missing","","","No","Yes","Daylight","Urban (>70% Developed)","5 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Coarse Asphalt","Mountains","Urban","40 - 45  MPH","Stop Sign","Clear","No","35.58956, -82.5502",-82.5502,35.58956
"1080",383,384,"No","15-Nov",14,"No","Not Applicable","B: Evident Injury","Driveway / Alley","Hispanic","Male","Siler City","Chatham","No","01-01-06","2012-05-26","Bicyclist Failed to Yield - Midblock",18,"Non-Intersection","01-05-01","0001-01-01T13:42:58-04:56","Bicyclist Ride Out - Residential Driveway",NA,2012,"B: Evident Injury","Residential","70",70,"No","16-20 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Piedmont","Urban","5 - 15 MPH","No Control Present","Clear","No","35.73079, -79.4416",-79.4416,35.73079
"1081",387,388,"Yes","50-59",59,"Yes","With Traffic","B: Evident Injury","Travel Lane","Black","Male","Plymouth","Washington","Yes","01-01-02","2012-05-29","Bicyclist Right Turn / Merge",22,"Intersection-Related","01-05-01","0001-01-01T17:10:58-04:56","Bicyclist Right Turn - Same Direction",NA,2012,"B: Evident Injury","Commercial","40-49",41,"No","41-45 mph","O: No Injury","Black","Female","Passenger Car","No","No","Dark - Lighted Roadway","Urban (>70% Developed)","5 lanes",2,"Straight - Level","US Route","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Coarse Asphalt","Coastal","Rural","40 - 45  MPH","No Control Present","Clear","No","35.85689, -76.7484",-76.7484,35.85689
"1082",396,397,"Yes","15-Nov",15,"No","Not Applicable","B: Evident Injury","","Black","Male","Oak Island","Brunswick","No","01-01-05","2012-06-08","Bicyclist Failed to Yield - Midblock",14,"Non-Intersection","01-06-01","0001-01-01T09:03:58-04:56","Bicyclist Ride Out - Other Midblock",NA,2012,"B: Evident Injury","Residential","0-19",17,"No","31-35 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Urban","30 - 35  MPH","No Control Present","Clear","No","33.91029, -78.117",-78.117,33.91029
"1083",409,410,"Yes","15-Nov",12,"No","","B: Evident Injury","","Black","Male","Wilmington","New Hanover","No","01-01-06","2012-06-16","Bicyclist Failed to Yield - Midblock",12,"Non-Intersection","01-06-01","0001-01-01T07:27:58-04:56","Bicyclist Ride Out - Midblock -",NA,2012,"B: Evident Injury","Residential","",NA,"Missing","","Injury","/Missing","","","No","Yes","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Urban","","No Control Present","Clear","No","34.22733, -77.9304",-77.9304,34.22733
"1084",418,419,"No","50-59",57,"No","Not Applicable","C: Possible Injury","Non-Roadway","White","Male","Asheboro","Randolph","No","01-01-03","2012-06-20","Non-Roadway",17,"Non-Roadway","01-06-01","0001-01-01T12:27:58-04:56","Non-Roadway",NA,2012,"C: Possible Injury","Commercial","60-69",65,"No","","O: No Injury","White","Male","Sport Utility","No","No","Daylight","Urban (>70% Developed)","",2,"Straight - Level","Public Vehicular Area","Dry","One-Way, Not Divided","None","Driveway, Public","Smooth Asphalt","Piedmont","Urban","","No Control Present","Clear","No","35.70556, -79.8155",-79.8155,35.70556
"1085",439,440,"No","30-39",34,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","None - Rural Crash","Cabarrus","No","","2012-07-09","Motorist Overtaking Bicyclist",15,"Non-Intersection","01-07-01","0001-01-01T10:19:58-04:56","Motorist Overtaking - Other /",NA,2012,"B: Evident Injury","Residential","60-69",61,"No","36-40 mph","O: No Injury","White","Male","Van","No","No","Daylight","Rural (<30% Developed)","4 lanes",2,"Straight - Hillcrest","NC Route","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Piedmont","Rural","50 - 55  MPH","No Control Present","Clear","No","35.24914, -80.5694",-80.5694,35.24914
"1086",445,446,"Yes","60-69",67,"No","With Traffic","B: Evident Injury","Other","Black","Male","Goldsboro","Wayne","No","01-01-05","2012-06-29","Bicyclist Left Turn / Merge",9,"Intersection-Related","01-06-01","0001-01-01T04:31:58-04:56","Bicyclist Left Turn - Same Direction",NA,2012,"B: Evident Injury","Commercial","25-29",26,"No","21-25 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","5 lanes",2,"Curve - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Urban","30 - 35  MPH","No Control Present","Clear","No","35.39027, -77.9461",-77.9461,35.39027
"1087",450,451,"Yes","50-59",56,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Morrisville","Wake","No","01-01-02","2012-07-10","Motorist Overtaking Bicyclist",13,"Non-Intersection","01-07-01","0001-01-01T08:58:58-04:56","Motorist Overtaking - Other /",NA,2012,"B: Evident Injury","Residential","60-69",65,"No","26-30 mph","O: No Injury","White","Male","Activity Bus","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Wet","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","No Control Present","Rain","No","35.82196, -78.8287",-78.8287,35.82196
"1088",457,458,"Yes","50-59",51,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","Indian Trail","Union","No","","2012-07-09","Motorist Left Turn / Merge",21,"Intersection","01-07-01","0001-01-01T16:03:58-04:56","Motorist Left Turn - Opposite Direction",NA,2012,"C: Possible Injury","Commercial","60-69",60,"No","0-5 mph","O: No Injury","White","Male","Pickup","No","No","Dark - Lighted Roadway","Urban (>70% Developed)","2 lanes",2,"Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","Stop And Go Signal","Clear","No","35.06807, -80.6788",-80.6788,35.06807
"1089",470,471,"Yes","20-24",20,"No","With Traffic","C: Possible Injury","Travel Lane","Black","Male","None - Rural Crash","Greene","No","01-01-02","2012-07-17","Motorist Overtaking Bicyclist",17,"Non-Intersection","01-07-01","0001-01-01T12:27:58-04:56","Motorist Overtaking - Bicyclist Swerved",NA,2012,"C: Possible Injury","Residential","25-29",28,"No","36-40 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Rural","40 - 45  MPH","No Control Present","Clear","No","35.43974, -77.657",-77.657,35.43974
"1090",475,476,"Yes","30-39",32,"No","With Traffic","A: Disabling Injury","Travel Lane","Black","Male","Asheville","Buncombe","No","01-01-04","2012-06-28","Motorist Overtaking Bicyclist",21,"Non-Intersection","01-06-01","0001-01-01T16:53:58-04:56","Motorist Overtaking - Other /",NA,2012,"A: Disabling Injury","Commercial","0-19",18,"No","41-45 mph","O: No Injury","White","Male","Passenger Car","No","No","Dark - Roadway Not Lighted","Urban (>70% Developed)","",2,"Straight - Grade","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Mountains","Urban","40 - 45  MPH","No Control Present","Clear","No","35.44607, -82.5329",-82.5329,35.44607
"1091",484,485,"Yes","30-39",35,"No","With Traffic","C: Possible Injury","Travel Lane","Black","Male","Gastonia","Gaston","No","01-01-04","2012-07-12","Crossing Paths - Other Circumstances",17,"Intersection","01-07-01","0001-01-01T12:21:58-04:56","Signalized Intersection - Other /",NA,2012,"C: Possible Injury","Commercial","50-59",55,"No","6-10 mph","O: No Injury","White","Female","Sport Utility","No","No","Daylight","Urban (>70% Developed)","6 lanes",2,"Straight - Level","US Route","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No","35.26056, -81.2085",-81.2085,35.26056
"1092",489,490,"Yes","25-29",25,"No","Facing Traffic","B: Evident Injury","Travel Lane","Hispanic","Male","Mooresville","Iredell","No","01-01-02","2012-07-10","Motorist Failed to Yield - Midblock",17,"Non-Intersection","01-07-01","0001-01-01T12:45:58-04:56","Motorist Drive Out - Commercial Driveway / Alley",NA,2012,"B: Evident Injury","Commercial","40-49",47,"No","6-10 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","5 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","Driveway, Public","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","Stop Sign","Clear","No","35.58866, -80.8269",-80.8269,35.58866
"1093",490,491,"No","20-24",20,"No","Facing Traffic","B: Evident Injury","Travel Lane","White","Female","Nags Head","Dare","No","01-01-05","2012-06-29","Motorist Failed to Yield - Signalized Intersection",12,"Intersection","01-06-01","0001-01-01T07:04:58-04:56","Motorist Drive Out - Right Turn on Red",NA,2012,"B: Evident Injury","Residential","50-59",57,"No","0-5 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","5 lanes",2,"Straight - Level","US Route","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Smooth Asphalt","Coastal","Rural","50 - 55  MPH","Stop And Go Signal","Clear","No","35.92932, -75.6106",-75.6106,35.92932
"1094",493,494,"Yes","60-69",63,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Wilmington","New Hanover","No","01-01-07","2012-07-08","Motorist Failed to Yield - Sign-Controlled Intersection",6,"Intersection","01-07-01","0001-01-01T01:27:58-04:56","Motorist Drive Out - Sign-Controlled Intersection",NA,2012,"B: Evident Injury","Residential","40-49",49,"No","","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Coarse Asphalt","Coastal","Urban","30 - 35  MPH","Stop Sign","Clear","No","34.24334, -77.8968",-77.8968,34.24334
"1095",498,499,"No","20-24",22,"No","Facing Traffic","B: Evident Injury","Travel Lane","Hispanic","Male","Durham","Durham","No","01-01-03","2012-07-25","Crossing Paths - Other Circumstances",18,"Intersection","01-07-01","0001-01-01T13:06:58-04:56","Signalized Intersection - Other /",NA,2012,"B: Evident Injury","Commercial","30-39",37,"No","0-5 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No","36.04616, -78.9026",-78.9026,36.04616
"1096",503,504,"No","20-24",22,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Chapel Hill","Orange","No","01-01-02","2012-07-17","Motorist Left Turn / Merge",17,"Intersection","01-07-01","0001-01-01T12:27:58-04:56","Motorist Left Turn - Opposite Direction",NA,2012,"B: Evident Injury","Residential","0-19",16,"No","21-25 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Coarse Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","35.90884, -79.0593",-79.0593,35.90884
"1097",509,510,"Yes","20-24",20,"No","Facing Traffic","C: Possible Injury","Travel Lane","White","Female","Mooresville","Iredell","No","01-01-05","2012-07-13","Motorist Failed to Yield - Signalized Intersection",7,"Intersection","01-07-01","0001-01-01T02:52:58-04:56","Motorist Drive Out - Signalized Intersection",NA,2012,"C: Possible Injury","Residential","25-29",27,"No","6-10 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","5 lanes",2,"Straight - Hillcrest","NC Route","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Coarse Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Cloudy","No","35.59142, -80.848",-80.848,35.59142
"1098",512,513,"Yes","15-Nov",11,"Missing","","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","Black","Male","Charlotte","Mecklenburg","No","01-01-07","2012-07-29","Parallel Paths - Other Circumstances",17,"Intersection-Related","01-07-01","0001-01-01T12:31:58-04:56","Bicyclist Ride Out - Parallel Path",NA,2012,"B: Evident Injury","Residential","30-39",33,"No","36-40 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Positive Median Barrier","","No Special Feature","Coarse Asphalt","Piedmont","Urban","30 - 35  MPH","No Control Present","Clear","No","35.22468, -80.7118",-80.7118,35.22468
"1099",513,514,"Yes","40-49",40,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","Kill Devil Hills","Dare","No","01-01-07","2012-07-22","Motorist Failed to Yield - Midblock",8,"Non-Intersection","01-07-01","0001-01-01T03:30:58-04:56","Motorist Drive Out - Commercial Driveway / Alley",NA,2012,"C: Possible Injury","Residential","40-49",44,"No","6-10 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","NC Route","Wet","Two-Way, Not Divided","None","Related To Intersection","Coarse Asphalt","Coastal","Urban","30 - 35  MPH","No Control Present","Cloudy","No","36.00006, -75.649",-75.649,36.00006
"1100",516,517,"No","25-29",25,"No","Facing Traffic","C: Possible Injury","Multi-use Path","White","Female","Wilmington","New Hanover","No","01-01-04","2012-07-12","Motorist Failed to Yield - Midblock",11,"Non-Intersection","01-07-01","0001-01-01T06:10:58-04:56","Motorist Drive Out - Other Midblock",NA,2012,"C: Possible Injury","Commercial","20-24",24,"No","","O: No Injury","White","Female","","No","Yes","Daylight","Urban (>70% Developed)","6 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Driveway, Public","Smooth Asphalt","Coastal","Urban","","Stop Sign","Clear","No","34.2378, -77.8282",-77.8282,34.2378
"1101",627,628,"Yes","15-Nov",11,"No","With Traffic","C: Possible Injury","Travel Lane","Black","Male","Raleigh","Wake","No","","2007-08-06","Bicyclist Overtaking Motorist",20,"Non-Intersection","01-08-01","0001-01-01T15:40:58-04:56","Bicyclist Overtaking - Passing on Right",311241,2007,"C: Possible Injury","Residential","25-29",25,"No","11-15 mph","O: No Injury","Black","Female","Passenger Car","No","No","Dark - Lighted Roadway","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","35.76735, -78.64041",-78.64041,35.76735
"1102",639,640,"No","15-Nov",13,"No","With Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","Black","Male","Rocky Mount","Edgecombe","No","01-01-04","2007-08-09","Motorist Right Turn / Merge",12,"Intersection","01-08-01","0001-01-01T07:29:58-04:56","Motorist Right Turn - Same Direction",131213,2007,"C: Possible Injury","Residential","30-39",36,"No","31-35 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Hillcrest","Local Street","Dry","Two-Way, Not Divided","None","Bridge","Coarse Asphalt","Coastal","Urban","30 - 35  MPH","Yield Sign","Clear","No","35.936275, -77.79555",-77.79555,35.936275
"1103",657,658,"No","16-19",16,"No","","O: No Injury","Travel Lane","Black","Male","Charlotte","Mecklenburg","No","01-01-02","2007-11-20","Bicyclist Failed to Yield - Sign-Controlled Intersection",17,"Intersection","01-11-01","0001-01-01T12:48:58-04:56","Bicyclist Ride Out - Sign-Controlled Intersection",119142,2007,"O: No Injury","Commercial","25-29",25,"No","31-35 mph","O: No Injury","White","Male","Passenger Car","No","No","Dusk","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","No Control Present","Clear","No","35.08762, -80.863655",-80.863655,35.08762
"1104",663,664,"No","50-59",56,"No","Facing Traffic","B: Evident Injury","Travel Lane","White","Male","None - Rural Crash","Pitt","No","01-01-02","2007-08-14","Motorist Right Turn / Merge",9,"Non-Intersection","01-08-01","0001-01-01T04:03:58-04:56","Motorist Right Turn - Opposite Direction",312214,2007,"B: Evident Injury","Residential","40-49",43,"No","0-5 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Rural (<30% Developed)","2 lanes",2,"Curve - Level","Public Vehicular Area","Dry","Two-Way, Not Divided","None","Driveway, Private","Smooth Asphalt","Coastal","Rural","","No Control Present","Clear","No","35.635437, -77.469826",-77.469826,35.635437
"1105",669,670,"No","16-19",16,"No","Not Applicable","O: No Injury","Driveway / Alley","Black","Male","Jacksonville","Onslow","No","01-01-04","2007-08-16","Bicyclist Failed to Yield - Midblock",17,"Non-Intersection","01-08-01","0001-01-01T12:11:58-04:56","Bicyclist Ride Out - Commercial Driveway / Alley",353312,2007,"C: Possible Injury","Commercial","60-69",67,"No","41-45 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Coastal","Urban","40 - 45  MPH","No Control Present","Clear","No","34.775734, -77.36592",-77.36592,34.775734
"1106",673,674,"Yes","15-Nov",14,"No","With Traffic","O: No Injury","Travel Lane","Black","Male","Havelock","Craven","No","01-01-06","2007-08-18","Parallel Paths - Other Circumstances",14,"Non-Intersection","01-08-01","0001-01-01T09:50:58-04:56","Parallel Paths - Other /",311280,2007,"O: No Injury","Commercial","70+",NA,"No","16-20 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Urban","40 - 45  MPH","No Control Present","Clear","No","34.90577, -76.93357",-76.93357,34.90577
"1107",676,677,"Yes","",NA,"Missing","Not Applicable","Injury","Non-Roadway","/Missing","","Wrightsville Beach","New Hanover","No","01-01-06","2007-08-18","Bicyclist Failed to Yield - Signalized Intersection",17,"Intersection-Related","01-08-01","0001-01-01T12:32:58-04:56","Bicyclist Ride Out - Signalized  Intersection",263153,2007,"O: No Injury","Commercial","20-24",24,"No","0-5 mph","O: No Injury","/Missing","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Rural","30 - 35  MPH","Stop And Go Signal","Clear","No","34.208042, -77.796326",-77.796326,34.208042
"1108",682,683,"No","20-24",22,"No","With Traffic","Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male","Greensboro","Guilford","No","01-01-02","2007-08-21","Motorist Right Turn / Merge",11,"Intersection","01-08-01","0001-01-01T06:08:58-04:56","Motorist Right Turn - Same Direction",131213,2007,"O: No Injury","Institutional","20-24",24,"No","6-10 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","36.065582, -79.81151",-79.81151,36.065582
"1109",693,694,"Yes","20-24",20,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Boone","Watauga","No","01-01-05","2007-08-24","Bicyclist Overtaking Motorist",16,"Intersection-Related","01-08-01","0001-01-01T12:02:58-04:56","Bicyclist Overtaking - Other /",211249,2007,"B: Evident Injury","Commercial","25-29",29,"No","16-20 mph","O: No Injury","White","Male","Sport Utility","No","No","Daylight","Urban (>70% Developed)","7 lanes",2,"Straight - Level","NC Route","Wet","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Mountains","Urban","30 - 35  MPH","Stop And Go Signal","Cloudy","No","36.205532, -81.66969",-81.66969,36.205532
"1110",697,698,"Yes","10-Jun",10,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Wilson","Wilson","No","01-01-02","2007-08-21","Bicyclist Left Turn / Merge",17,"Non-Intersection","01-08-01","0001-01-01T12:16:58-04:56","Bicyclist Left Turn - Same Direction",311221,2007,"B: Evident Injury","Residential","20-24",20,"No","31-35 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Curve - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Urban","30 - 35  MPH","No Control Present","Clear","No","35.734795, -77.92817",-77.92817,35.734795
"1111",704,705,"Yes","20-24",22,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","None - Rural Crash","Chatham","No","01-01-07","2007-08-26","Loss of Control / Turning Error",15,"Non-Intersection","01-08-01","0001-01-01T10:41:58-04:56","Motorist Lost Control - Mechanical Problems",311131,2007,"B: Evident Injury","Farms, Woods, Pastures","40-49",44,"No","61-65 mph","O: No Injury","Asian","Male","Passenger Car","No","No","Daylight","Rural (<30% Developed)","2 lanes",3,"Curve - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Cloudy","No","35.760014, -79.00928",-79.00928,35.760014
"1112",708,709,"Yes","16-19",19,"No","Facing Traffic","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male","Boone","Watauga","No","01-01-03","2007-08-29","Motorist Failed to Yield - Midblock",16,"Non-Intersection","01-08-01","0001-01-01T11:26:58-04:56","Motorist Drive Out - Commercial Driveway / Alley",332322,2007,"B: Evident Injury","Commercial","30-39",35,"No","16-20 mph","O: No Injury","White","Male","Van","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Driveway, Public","Smooth Asphalt","Mountains","Urban","30 - 35  MPH","No Control Present","Clear","No","36.217346, -81.6649",-81.6649,36.217346
"1113",709,710,"Yes","16-19",17,"No","Not Applicable","A: Disabling Injury","Driveway / Alley","White","Male","None - Rural Crash","Macon","No","01-01-04","2007-08-30","Bicyclist Failed to Yield - Midblock",12,"Non-Intersection","01-08-01","0001-01-01T07:38:58-04:56","Bicyclist Ride Out - Residential Driveway",353311,2007,"A: Disabling Injury","Residential","40-49",48,"No","21-25 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Grade","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Mountains","Rural","30 - 35  MPH","Double Yellow Line, No Passing Zone","Clear","No","35.21386, -83.35928",-83.35928,35.21386
"1114",712,713,"Yes","16-19",18,"No","With Traffic","O: No Injury","","Hispanic","Female","Raleigh","Wake","No","01-01-05","2007-08-31","Motorist Right Turn / Merge",14,"Intersection","01-08-01","0001-01-01T09:03:58-04:56","Motorist Right Turn on Red - Same Direction",191217,2007,"O: No Injury","Residential","",NA,"Missing","0-5 mph","Injury","/Missing","","","No","Yes","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","No Control Present","Clear","No","35.76785, -78.62483",-78.62483,35.76785
